full_name,nickname,longitude,latitude,
Security Booth (Campus Drive),,-76.936510313403,38.98857565,
Security Booth (Stadium Drive),,-76.95045855,38.99198405,
"Service Building (University of Maryland, Police)",,-76.9361406358543,38.98597645,
Sheep Barn,,-76.9414407668993,38.99169565,
Shipley Field House (Baseball),,-76.9441134376408,38.9889419,
Shoemaker Building,SHM,-76.942745495777,38.9839376,
Shriver Laboratory,SHR,-76.94191685,38.98727505,
Shuttle Bus Facility,,-76.9365504141656,38.9955167,
Shuttle Bus Trailer 2,,-76.93407295,38.9870785,
Sigma Delta Tau Sorority,,-76.93587565,38.9806496,
Sigma Kappa Sorority,,-76.93514475,38.9832453,
Sigma Phi Epsilon Fraternity,,-76.9341870726646,38.98356725,
Skinner Building,SKN,-76.9418413304917,38.98480955,
Somerset Hall (Residence Hall),SOM,-76.9455473,38.9850026,
South Campus Commons 1,,-76.9429384672295,38.98211405,
South Campus Commons 2,,-76.942933891664,38.9828397,
South Campus Commons 3,,-76.9397267748109,38.98147685,
South Campus Commons 4,,-76.9414232588701,38.98128715,
South Campus Commons 5,,-76.94470195,38.98275075,
South Campus Commons 6,,-76.9446791864948,38.98216555,
South Campus Commons 7,,-76.9445591280214,38.9815547,
South Campus Dining Hall,SDH,-76.9436837393588,38.983048,
South Gate (Regents Dr. and Rt. 1),,-76.938869,38.9823717,
Special Education Trailer One,,-76.94795265,38.9869185,
Special Education Trailer Two,,-76.94795265,38.9867484,
Special Services Office Building,,-76.93443985,38.98651785,
St. Mary's Hall (Residence Hall),STM,-76.9455983683182,38.9870071,
Stadium Drive Parking Garage,SDG,-76.9489997913519,38.9910407,
Susquehanna Hall,SQH,-76.943749743933,38.9820745,
Symons Hall,SYM,-76.9406455474374,38.9870811,
Talbot Hall (Residence Hall),TAL,-76.9422561,38.9833387,
Taliaferro Hall,TLF,-76.9430948392412,38.98484635,
Tau Kappa Epsilon Fraternity,,-76.93563395,38.9846469,
Tawes Fine Arts Building,TWS,-76.9483238494655,38.98598645,
Technology Advancement Building,,-76.938615024697,38.99251055,
Technology Ventures Building,,-76.9255078851059,38.97964495,
Temporary Building,,-76.9337296097556,38.9852606,
Temporary Building1,,-76.9327854891442,38.9836276,
Temporary Building2,,-76.9328960630658,38.983738,
Terrapin Trail Parking Garage,,-76.9433528356638,38.99497,
The Diner,,-76.9466253202392,38.9925679,
The Domain,,-76.9493582912198,38.98418695,
The Varsity,,-76.9344594915205,38.99146725,
Track/Soccer Ticket Booth,,-76.9498700750045,38.9874593,
Turner Hall (Dairy/Visitor Center),TUR,-76.9373371743758,38.98614065,
Tydings Hall,TYD,-76.9440007655894,38.9848516,
Tyser Tower,BRD,-76.9478028839735,38.98970955,
UMUC Hotel,,-76.9552482403172,38.9860612,
UMUC Inn and Conference Center (ICC),ICC,-76.9540770364453,38.9860659,
UMUC Student and Faculty Services Center,SFSC,-76.9533396302397,38.9866594,
UMUC/University College Garage (PGUC),PGUC,-76.9544177389556,38.98699405,
Union Lane Parking Garage,ULG,-76.9458968038597,38.98840855,
University Baptist Church,,-76.95374930076,38.98425975,
University Hills Apartments1,,-76.9562455643617,38.98514415,
University Hills Apartments2,,-76.9572075604853,38.9850375,
University Hills Apartments3,,-76.9582383073659,38.98494235,
University Hills Apartments4,,-76.9583539620815,38.98442205,
University Hills Apartments5,,-76.9573552914719,38.9844605,
University Hills Apartments6,,-76.9562790737231,38.9843953,
University Hills Apartments7,,-76.9558676954921,38.98447435,
University United Methodist Church,,-76.9513539156316,38.98421265,
University View,,-76.9344298975591,38.99256455,
University View II,,-76.9336210376858,38.99251945,
Univesity Research Center (North),,-76.9222887214757,38.9722927,
Univesity Research Center (South),,-76.9218988073354,38.970879,
Van Munching Hall,VMH,-76.9470382916646,38.9830467,
Varsity Sports Teamhouse,,-76.9451814170622,38.99006865,
Washington Hall (Residence Hall),WSH,-76.9413924749198,38.9818076,
Wicomico Hall (Residence Hall),WIC,-76.9458442795105,38.9837427,
Wind Tunnel Building,WTU,-76.9368484609687,38.9899002,
Woods Hall,WDS,-76.9418451233709,38.9851106,
Worchester Hall (Residence Hall),WOR,-76.9449993420465,38.98467285,
Zeta Beta Tau,,-76.9371918048901,38.9832052,
Zeta Psi Fraternity,,-76.9366895,38.9832584,
Zeta Tau Alpha,,-76.9361831249379,38.98325535,
Physical Sciences Complex,PSC,-76.941378,38.990869,
Atlantic Building,ATL,-76.943191,38.991203,
Thurgood Marshall Hall,TMH,-76.938693,38.985175,
Research Greenhouse Complex,RGC,-76.942853,38.997403,
Wye Research & Education Center,WREC,-76.150598,38.911984,
Paint Branch Turfgrass Research Facility,PBR,-76.94081,39.007056,
Eppley Recreation Center,ERC,-76.945174,38.993603,
Prince Frederick Hall,PFR,-76.945769,38.983166,
,,,,
